Alignment,Character,Combat,Creator,Durability,Gender,Height,IQ,Intelligence,Level,Place_of_birth,Power,Species,Speed,Speed_velocity,Strength,Strength_force,Super_powers,Tier,Universe,Weight,combat_str,durability_str,height_str,intelligence_str,level_str,power_str,speed_str,speed_velocity_str,strength_str,strength_force_str,tier_str,weight_str,name,img_links
Neutral,carnage,100,Marvel Comics,15,Male,-,90,45,2,Unknown,25,Human,8,15,6,250,"berserkmode,metalmanipulation,toxinanddiseaseresistance,weaponsmaster,woodmanipulation,agility,bloodlust,coldresistance,energyconstructs,symbiotecostume,terrakinesis,acceleratedhealing,illusionresistance,longevity,tentacles",2,Fortnite,-,combat96to100,durability15,heighthuge,intelligence41to45,level2,power21to25,speed6to10,sv1-1000,strength6to10,sf1-1000,tier2,weightunknown,Carnage (Cubed),https://static.wikia.nocookie.net/villains/images/7/70/Carnage_%28Ultimate%29_2.png/revision/latest/scale-to-width-down/350?cb=20180623231606
Bad,carnage,40,Marvel Comics,15,Male,-,140,70,2,Unknown,55,Symbiote,11,20,25,1000,"agility,durability,stamina,acceleratedhealing,jump,reflexes,regeneration,symbiotecostume,toxinanddiseaseresistance,wallcrawling,webcreation,longevity",2,Earth-13122,-,combat36to40,durability15,heighthuge,intelligence66to70,level2,power51to55,speed11to15,sv1-1000,strength21to25,sf1-1000,tier2,weightunknown,Carnage,https://static.wikia.nocookie.net/villains/images/7/70/Carnage_%28Ultimate%29_2.png/revision/latest/scale-to-width-down/350?cb=20180623231606
Good,captainmarvel,70,Marvel Comics,50,Female,"180 cm • 5'10.9""",140,70,3,Unknown,80,Human-Kree,100,1000000000,75,10000000,"acidresistants,agility,coldresistance,dexterity,electricityabsorption,endurance,energyabsorption,energyblasts,energymanipulation,energyresistance,enhancedhearing,enhancedmemory,fireresistance,flight,heatresistance,longevity,matterabsorption,powerabsorption,radiationabsorption,radiationimmunity,reflexes,spacesurvivability,spaceflight,stamina,statisticsamplification,toxinanddiseaseresistance,underwaterbreathing,vehicularmastery,acceleratedhealing,electricityresistance,energybeams,enhancedsight,enhancedtouch,invulnerability,mastermartialartist,mastertactician,poweraugmentation,regeneration,weaponsmaster",4,MAU,74 kg • 163.14 lbs,combat66to70,durability50,height0-5,intelligence66to70,level3,power76to80,speed96to100,sv100000001-1000000000,strength71to75,sf1000001-10000000,tier4,weight1-1000,Captain Marvel,https://static.wikia.nocookie.net/superheroes/images/3/3a/Captain_Marvel_Carol_Danvers.jpg/revision/latest/scale-to-width-down/250?cb=20160330025633
Good,captainmarvel,80,Marvel Comics,45,Female,"175.3 cm • 5'9""",120,60,3,Unknown,75,Human-Kree,100,1000000000,85,400000000,"coldresistance,durability,energyabsorption,energyblasts,energymanipulation,flight,heatgeneration,intelligence,interstellartravel,spacesurvivability,spaceflight,stamina,superspeed,superstrength,acceleratedhealing,acrobatics,afterimagecreation,agility,dexterity,endurance,energyarmor,energybeams,enhancedsight,fireresistance,forcefields,heatresistance,illumination,jump,longevity,marksmanship,mastermartialartist,reflexes,self-sustenance,toxinanddiseaseresistance,vehicularmastery,vision-night,invulnerability",3,MCU,62 kg • 136.69 lbs,combat76to80,durability45,height0-5,intelligence56to60,level3,power71to75,speed96to100,sv100000001-1000000000,strength81to85,sf100000001-1000000000,tier3,weight1-1000,Captain Marvel (Earth 838),https://static.wikia.nocookie.net/superheroes/images/3/3a/Captain_Marvel_Carol_Danvers.jpg/revision/latest/scale-to-width-down/250?cb=20160330025633
Good,captainmarvel,80,Marvel Comics,55,Female,-,140,70,3,Unknown,75,None,75,100000000,100,1000000000,"acceleratedhealing,agility,coldresistance,durability,energyabsorption,energyblasts,energymanipulation,energyresistance,flight,intelligence,invulnerability,reflexes,stamina,superspeed,superstrength,berserkmode,electricityabsorption,electricityresistance,endurance,enhancedhearing,enhancedsight,fireresistance,heatgeneration,heatresistance,indomitablewill,jump,longevity,mastertactician,self-sustenance,shockwavesgeneration,toxinanddiseaseresistance,mastermartialartist,weaponsmaster",4,MCU,-,combat76to80,durability55,heighthuge,intelligence66to70,level3,power71to75,speed71to75,sv10000001-100000000,strength96to100,sf100000001-1000000000,tier4,weightunknown,Captain Marvel (What If...?),https://static.wikia.nocookie.net/superheroes/images/3/3a/Captain_Marvel_Carol_Danvers.jpg/revision/latest/scale-to-width-down/250?cb=20160330025633
Bad,captainmarvel,90,Marvel Comics,80,Female,"180.3 cm • 5'11""",134,65,5,"Boston, Massachusetts",85,Symbiote,100,1000000000,75,100000000,none,5,Earth-616,74.8 kg • 164.91 lbs,combat86to90,durability80,height0-5,intelligence61to65,level5,power81to85,speed96to100,sv100000001-1000000000,strength71to75,sf10000001-100000000,tier5,weight1-1000,Captain Marvel (Venomized),https://static.wikia.nocookie.net/superheroes/images/3/3a/Captain_Marvel_Carol_Danvers.jpg/revision/latest/scale-to-width-down/250?cb=20160330025633
Good,captainmarvel,100,Marvel Comics,100,Female,"180.3 cm • 5'11""",140,70,5,"Boston, Massachusetts",100,Human-Kree,100,1000000000,95,880000000,"acceleratedhealing,adaptation,agility,coldresistance,dangersense,dexterity,durability,endurance,energyabsorption,energyarmor,energyblasts,energyconstructs,energymanipulation,energyresistance,enhancedhearing,enhancedsight,fireresistance,flight,forcefields,gravitycontrol,heatgeneration,heatresistance,illumination,intangibility,intelligence,interstellartravel,invulnerability,mastertactician,non-physicalinteraction,powersuit,radarsense,radiationabsorption,radiationcontrol,radiationimmunity,reflexes,self-sustenance,stamina,statisticsamplification,stealth,superspeed,superstrength,toxinanddiseaseresistance,vibrationmanipulation,weapon-basedpowers,aura,bonemanipulation,corruptionresistance,damageboost,electricityresistance,energybeams,enhancedmemory,extrasensoryperception,godlyphysiology,illusionresistance,immortality,indomitablewill,magic,magicabsorption,magicresistance,marksmanship,mastermartialartist,matterabsorption,melting,mindcontrolresistance,odinforce,possessionresistance,precognition,regeneration,spatialawareness,telepathyresistance,vehicularmastery,weaponsmaster,durabilitynegation,electricityabsorption,hellfireresistance,mattermanipulation,molecularmanipulation,omnilingualism,soulresistance,timemanipulationresistance,unholyresistance",6,Earth-616,74.8 kg • 164.91 lbs,combat96to100,durability100,height0-5,intelligence66to70,level5,power96to100,speed96to100,sv100000001-1000000000,strength91to95,sf100000001-1000000000,tier6,weight1-1000,Captain Marvel (Asgardian Armored),https://static.wikia.nocookie.net/superheroes/images/3/3a/Captain_Marvel_Carol_Danvers.jpg/revision/latest/scale-to-width-down/250?cb=20160330025633
Good,captainman,30,Nickelodeon,100,Male,-,109,55,1,Unknown,50,Human,7,12,25,2000,"durability,indestructibledigestion",1,Earth-616,82.1 kg • 181 lbs,combat26to30,durability100,heighthuge,intelligence51to55,level1,power46to50,speed6to10,sv1-1000,strength21to25,sf1001-5000,tier1,weight1-1000,Captain Man,https://static.wikia.nocookie.net/superheroes/images/5/5c/Captain_Man.png/revision/latest/scale-to-width-down/283?cb=20191209144720
Bad,captainginyu,95,Shueisha,60,Male,"200 cm • 6'6.7""",150,75,3,Unknown,40,None,60,40000000,100,1000000000,"acrobatics,dexterity,durability,intelligence,mastertactician,mindtransfer,stamina,superspeed,superstrength,afterimagecreation,aura,bullettime,coldresistance,electricityresistance,energybeams,energyblasts,energymanipulation,explosionmanipulation,fireresistance,flight,heatresistance,invulnerability,jump,marksmanship,mastermartialartist,reflexes,scanning,vaporisingbeams,vision-telescopic,telekinesis",4,DB,-,combat91to95,durability60,height0-5,intelligence71to75,level3,power36to40,speed56to60,sv10000001-100000000,strength96to100,sf100000001-1000000000,tier4,weightunknown,Captain Ginyu,https://static.wikia.nocookie.net/villains/images/8/8b/CaptainGinyu04.png/revision/latest/scale-to-width-down/350?cb=20190209062113
Neutral,captaincold,40,DC Comics,5,Male,-,130,65,1,Unknown,10,Human,1,6,1,150,"intelligence,stamina,cryokinesis,mastertactician,stealth",1,Arrowverse,-,combat36to40,durability5,heighthuge,intelligence61to65,level1,power6to10,speed1to5,sv1-1000,strength1to5,sf1-1000,tier1,weightunknown,Captain Cold,https://static.wikia.nocookie.net/villains/images/1/16/C-Cold.jpg/revision/latest?cb=20190220185139
Good,captainamerica,100,Marvel Comics,45,Male,"188 cm • 6'2""",180,90,3,Manhattan,100,Human,55,20000015,25,5000,"durability,intelligence,peakhumancondition,superspeed,superstrength,acceleratedhealing,acrobatics,agility,coldresistance,dexterity,endurance,enhancedhearing,enhancedmemory,enhancedsight,enhancedsmell,enhancedtouch,fireresistance,hacking,indomitablewill,jump,longevity,marksmanship,mastermartialartist,mastertactician,pressurepoints,radiationimmunity,reflexes,regeneration,stealth,telepathyresistance,toxinanddiseaseresistance,vehicularmastery,weapon-basedpowers,weaponsmaster,attackreflection,electricityresistance,electrokinesis,energyabsorption,energyblasts,flight,forcefields,godlyphysiology,homingattack,intangibility,invisibility,mattermanipulation,omnilingualism,projection,resurrection,soulmanipulation,teleportation,timemanipulation,transformation,weathercontrol",4,Earth-616,99.3 kg • 218.92 lbs,combat96to100,durability45,height0-5,intelligence86to90,level3,power96to100,speed51to55,sv10000001-100000000,strength21to25,sf1001-5000,tier4,weight1-1000,Captain America (Worthy),https://static.wikia.nocookie.net/superheroes/images/6/6b/Captain_America_Marvel_Now.jpg/revision/latest/scale-to-width-down/250?cb=20230415061027
Good,captainamerica,100,Marvel Comics,100,Male,"187.8 cm • 6'1.9""",180,90,6,New York,100,Human,100,1000000000,100,1000000000,"accelerateddevelopment,acceleratedhealing,agility,attacknegation,attackreflection,causalityresistance,clairvoyanceresistance,coldresistance,corruptionresistance,cosmicawareness,curseresistance,dangersense,durability,durabilitynegation,electricityresistance,elementcontrol,emotionalpowerup,endurance,energyabsorption,energyblasts,energyresistance,enhancedcondition,enhancedhearing,enhancedmemory,enhancedsight,existenceerasureresistance,fateresistance,firecontrol,fireresistance,flight,heatgeneration,heatresistance,holyresistance,illusionresistance,immortality,immortalitynegation,indomitablewill,intelligence,interstellartravel,invulnerability,longevity,madnessmanipulation,magicresistance,marksmanship,mastermartialartist,mastertactician,mindcontrolresistance,peakhumancondition,phoenixforce,possessionresistance,powerabsorptionimmunity,powermimicryimmunity,precognition,radiationimmunity,ragepower,realitywarpingresistance,reflexes,regeneration,regenerationnegation,self-sustenance,soulresistance,spaceflight,spatialawareness,stamina,superspeed,superstrength,swordsmanship,telepathyresistance,teleportation,timemanipulationresistance,toxinanddiseaseresistance,underwaterbreathing,unholyresistance,vehicularmastery,vision-heat,weaponsmaster,abilityshift,acrobatics,adaptation,afterimagecreation,agemanipulation,animalcontrol,animation,anti-gravity,apathy,astralprojection,astraltrap,astraltravel,audiocontrol,avatarcreation,awakenedpower,banish,berserkmode,biokinesis,blackholemanipulation,bodypuppetry,bullettime,causalitymanipulation,clairvoyance,cloaking,cloning,clothmanipulation,conceptualmanipulation,corruption,damageboost,damagereduction,damagetransferal,deathmanipulation,dimensionalawareness,dimensionaltravel,dreammanipulation,duplication,electricityabsorption,elementaltransmogrification,empathy,energyarmor,energybeams,energyconstructs,energymanipulation,enhancedtouch,explosionmanipulation,fearinducement,fearmanipulation,forcefields,fusion,gravitycontrol,hellfireresistance,homingattack,illusions,informationanalysis,intangibility,invisibility,jump,latentabilities,lawmanipulation,levitation,lifemanipulation,lightcontrol,luck,matterabsorption,mattermanipulation,melting,memorymanipulation,metaphysicsmanipulation,mindblast,mindcontrol,mindtransfer,molecularmanipulation,moralitymanipulation,necromancy,non-physicalinteraction,omnilingualism,painmanipulation,paralysis,phasing,physicsmanipulation,portalcreation,possession,powerabsorption,powerbestowal,powernullifier,powersense,powersuit,preparation,pressurepoints,projection,psionicpowers,quantummanipulation,radiationabsorption,radiationcontrol,rageinducement,reactiveevolution,realitywarping,resurrection,sealing,seismicpower,shadowmanipulation,shapeshifting,shockwavesgeneration,sizechanging,sleepmanipulation,soulmanipulation,spatialcommunication,stands,stealth,summoning,telekinesis,telepathy,timemanipulation,timetravel,transformation,vision-infrared,vision-microscopic,vision-night,vision-telescopic,vision-thermal,voidmanipulation,weaponcreation,weaponsummoning,weapon-basedpowers,weathercontrol,willofgod,willpowerinducement,willpowermanipulation,creation,dimensionstorage,existenceerasure,fatemanipulation,pocketdimensions,spatialmanipulation,truthmanipulation,wishing",8,Earth-616,90 kg • 198.42 lbs,combat96to100,durability100,height0-5,intelligence86to90,level6,power96to100,speed96to100,sv100000001-1000000000,strength96to100,sf100000001-1000000000,tier8,weight1-1000,Captain America (Phoenix Force),https://static.wikia.nocookie.net/superheroes/images/6/6b/Captain_America_Marvel_Now.jpg/revision/latest/scale-to-width-down/250?cb=20230415061027
Good,captainamerica,100,Marvel Comics,100,Male,"188 cm • 6'2""",200,100,6,"Manhattan, New York City, New York",100,Human,100,1000000000,100,1000000000,nigh-omnipotence,8,Earth-616,99.8 kg • 220.02 lbs,combat96to100,durability100,height0-5,intelligence96to100,level6,power96to100,speed96to100,sv100000001-1000000000,strength96to100,sf100000001-1000000000,tier8,weight1-1000,Captain America (Infinity Gauntlet),https://static.wikia.nocookie.net/superheroes/images/6/6b/Captain_America_Marvel_Now.jpg/revision/latest/scale-to-width-down/250?cb=20230415061027
Good,captainamerica,100,Marvel Comics,45,Male,"190.5 cm • 6'3""",180,90,2,"Brooklyn, New York",45,Human,55,20000015,25,25000,"durability,intelligence,peakhumancondition,stamina,superspeed,superstrength,accelerateddevelopment,acrobatics,agility,apathy,coldresistance,dexterity,endurance,enhancedhearing,enhancedmemory,enhancedsight,enhancedsmell,enhancedtouch,fireresistance,hacking,indomitablewill,jump,longevity,marksmanship,mastermartialartist,mastertactician,mindcontrolresistance,precognition,pressurepoints,radiationimmunity,reflexes,regeneration,stealth,telepathyresistance,toxinanddiseaseresistance,vehicularmastery,weapon-basedpowers,weaponsmaster,invulnerability,omnilingualism",2,Earth-1610,113.4 kg • 250 lbs,combat96to100,durability45,height0-5,intelligence86to90,level2,power41to45,speed51to55,sv10000001-100000000,strength21to25,sf10001-100000,tier2,weight1-1000,Captain America,https://static.wikia.nocookie.net/superheroes/images/6/6b/Captain_America_Marvel_Now.jpg/revision/latest/scale-to-width-down/250?cb=20230415061027
Good,captainamerica,70,Marvel Comics,9,Male,-,100,50,1,Unknown,25,Human,6,10,1,125,"weaponsmaster,vision-microscopic",1,Earth-616,-,combat66to70,durability9,heighthuge,intelligence46to50,level1,power21to25,speed6to10,sv1-1000,strength1to5,sf1-1000,tier1,weightunknown,Captain America (Fallen Son),https://static.wikia.nocookie.net/superheroes/images/6/6b/Captain_America_Marvel_Now.jpg/revision/latest/scale-to-width-down/250?cb=20230415061027
Bad,captainamerica,100,Marvel Comics,20,Male,"188 cm • 6'2""",20,10,2,"Manhattan, New York City, New York",40,Human,25,300,25,2000,"acrobatics,bloodlust,dexterity,durability,endurance,enhancedhearing,enhancedmemory,enhancedsight,enhancedsmell,enhancedtouch,indomitablewill,marksmanship,mastermartialartist,pressurepoints,stamina,superspeed,superstrength,weapon-basedpowers,weaponsmaster,acceleratedhealing,agility,gadgetusage,hacking,heatresistance,intuitiveaptitude,painsuppression,reflexes,stealth,vehicularmastery,adaptation,coldresistance,energyresistance,fireresistance,jump,mindcontrolresistance,radiationimmunity,regeneration,self-sustenance,telepathyresistance,toxinanddiseaseresistance",1,Earth-29320,108.86 kg • 240 lbs,combat96to100,durability20,height0-5,intelligence6to10,level2,power36to40,speed21to25,sv1-1000,strength21to25,sf1001-5000,tier1,weight1-1000,Captain America (Cybernetic Zombie),https://static.wikia.nocookie.net/superheroes/images/6/6b/Captain_America_Marvel_Now.jpg/revision/latest/scale-to-width-down/250?cb=20230415061027
Bad,captainamerica,55,Marvel Comics,80,Male,"188 cm • 6'2""",122,60,2,"Manhattan, New York City, New York",60,Symbiote,80,333333333,55,1100035,none,2,Earth-616,99.8 kg • 220.02 lbs,combat51to55,durability80,height0-5,intelligence56to60,level2,power56to60,speed76to80,sv100000001-1000000000,strength51to55,sf1000001-10000000,tier2,weight1-1000,Captain America (Venomized),https://static.wikia.nocookie.net/superheroes/images/6/6b/Captain_America_Marvel_Now.jpg/revision/latest/scale-to-width-down/250?cb=20230415061027
Bad,captainamerica,95,Marvel Comics,70,Male,"188 cm • 6'2""",153,75,5,"Manhattan, New York City, New York",65,Human,60,44444479,55,1115000,none,3,Earth-61311,108.9 kg • 240.08 lbs,combat91to95,durability70,height0-5,intelligence71to75,level5,power61to65,speed56to60,sv10000001-100000000,strength51to55,sf1000001-10000000,tier3,weight1-1000,Captain America (Hydra Armour),https://static.wikia.nocookie.net/superheroes/images/6/6b/Captain_America_Marvel_Now.jpg/revision/latest/scale-to-width-down/250?cb=20230415061027
Bad,camazotz,50,None,40,Male,"49.99 m • 163'12""",10,5,3,Unknown,60,Kaiju,25,515,75,85000000,"animalattributes,animalorientedpowers,echolocation,enhancedhearing,flight,jawstrength,largesize,longevity,naturalarmor,naturalweapons,radiationimmunity,sonicscream,animalcontrol,coldresistance,dexterity,dig,electricityresistance,endurance,energyresistance,enhancedsmell,fearinducement,fireresistance,heatresistance,ragepower,subterranean,summoning,toxinanddiseaseresistance,grappling/climbing,mastertactician,multiplelimbs,radarsense,radiationabsorption,self-sustenance,statuseffectinducement,weathercontrol",3,MonsterVerse,-,combat46to50,durability40,height11-100,intelligence1to5,level3,power56to60,speed21to25,sv1-1000,strength71to75,sf10000001-100000000,tier3,weightunknown,Camazotz,https://static.wikia.nocookie.net/villains/images/c/c2/Warning.gif/revision/latest/scale-to-width-down/95?cb=20190420195710
Bad,callisto,95,Marvel Comics,20,Female,"175.3 cm • 5'9""",130,65,2,Missouri,35,Human,20,40,15,600,"agility,enhancedsight,enhancedsmell,enhancedtaste,enhancedtouch,marksmanship,mastermartialartist,mastertactician,peakhumancondition,stamina,stealth,weaponsmaster,acceleratedhealing,acrobatics,coldresistance,dexterity,disguisemastery,endurance,enhancedhearing,enhancedmemory,heatresistance,jump,longevity,painsuppression,reflexes,regeneration,swordsmanship,toxinanddiseaseresistance,vehicularmastery,vision-night",1,Earth-616,74.8 kg • 164.91 lbs,combat91to95,durability20,height0-5,intelligence61to65,level2,power31to35,speed16to20,sv1-1000,strength11to15,sf1-1000,tier1,weight1-1000,Callisto,https://static.wikia.nocookie.net/villains/images/d/d7/Calllisto_fulllbody.png/revision/latest/scale-to-width-down/323?cb=20220524080136
Bad,cadbane,75,George Lucas,10,Male,"185.4 cm • 6'1""",130,65,1,Unknown,10,None,8,15,13,500,"intelligence,marksmanship,stamina,agility,firecontrol,heatgeneration,mastertactician,reflexes,stealth,weaponsmaster,energyblasts,illumination,weapon-basedpowers",1,Star Wars,75 kg • 165.35 lbs,combat71to75,durability10,height0-5,intelligence61to65,level1,power6to10,speed6to10,sv1-1000,strength11to15,sf1-1000,tier1,weight1-1000,Cad Bane,https://static.wikia.nocookie.net/villains/images/b/b0/KeyLockerTwo_.png/revision/latest/scale-to-width-down/25?cb=20190630014215
Good,buttercup,55,IDW Publishing,85,Female,-,130,65,3,Unknown,85,None,100,1000000000,95,820000000,"coldresistance,durability,electricityresistance,energybeams,energyblasts,energyconstructs,enhancedhearing,enhancedsight,enhancedsmell,firecontrol,fireresistance,flight,interstellartravel,stamina,superspeed,superstrength,vision-heat,vision-night,vision-x-ray,vortexcreation,acceleratedhealing,acrobatics,agility,duplication,elementaltransmogrification,forcefields,heatgeneration,heatresistance,invisibility,invulnerability,magic,sizechanging,sonicscream,teleportation,mastermartialartist,powerbestowal,realitywarpingresistance,toonforce",5,Powerpuff Girls,-,combat51to55,durability85,heighthuge,intelligence61to65,level3,power81to85,speed96to100,sv100000001-1000000000,strength91to95,sf100000001-1000000000,tier5,weightunknown,Buttercup,https://static.wikia.nocookie.net/superheroes/images/0/05/Powerpuff-girls5.jpg/revision/latest/scale-to-width-down/250?cb=20111215234347
Good,bumblebee,15,DC Comics,30,Female,-,160,80,1,Unknown,20,Human,25,100,25,2000,"durability,endurance,flight,hacking,intelligence,powersuit,stamina,superspeed,superstrength,electricityresistance,electrokinesis,energyblasts,reflexes,sizechanging,stealth,vision-infrared,vision-telescopic,sonicscream",1,DCSHG,-,combat11to15,durability30,heighthuge,intelligence76to80,level1,power16to20,speed21to25,sv1-1000,strength21to25,sf1001-5000,tier1,weightunknown,Bumblebee,https://static.wikia.nocookie.net/superheroes/images/a/ab/Bumblebee.jpg/revision/latest/scale-to-width-down/250?cb=20140526211750
Good,blackcat,75,Marvel Comics,30,Female,-,130,65,3,Unknown,60,Human,25,1000,50,500000,"agility,coldresistance,durability,endurance,energyconstructs,intelligence,levitation,reflexes,stamina,stealth,superspeed,superstrength,acceleratedhealing,acrobatics,aura,dexterity,energybeams,energyblasts,energymanipulation,energyresistance,fireresistance,flight,forcefields,heatgeneration,heatresistance,illumination,invulnerability,jump,magic,magicresistance,marksmanship,mastermartialartist,non-physicalinteraction,radiationimmunity,regeneration,self-sustenance,toxinanddiseaseresistance,transformation,vaporisingbeams",3,Earth-616,-,combat71to75,durability30,heighthuge,intelligence61to65,level3,power56to60,speed21to25,sv1-1000,strength46to50,sf100001-1000000,tier3,weightunknown,Black Cat (Yggdrasil Staff),https://static.wikia.nocookie.net/superheroes/images/7/77/Black_Cat.jpg/revision/latest/scale-to-width-down/250?cb=20231026172513
Good,blackcat,65,Marvel Comics,15,Female,"177.8 cm • 5'10""",120,60,1,"Queens, New York",40,Human,25,50,25,1000,"durability,peakhumancondition,stamina,superspeed,acrobatics,agility,enhancedsight,gliding,marksmanship,mastermartialartist,probabilitymanipulation,reflexes,stealth,superbreath,vision-infrared,wallcrawling",1,Earth-616,54.4 kg • 119.93 lbs,combat61to65,durability15,height0-5,intelligence56to60,level1,power36to40,speed21to25,sv1-1000,strength21to25,sf1-1000,tier1,weight1-1000,Black Cat,https://static.wikia.nocookie.net/superheroes/images/7/77/Black_Cat.jpg/revision/latest/scale-to-width-down/250?cb=20231026172513
Neutral,blackcat,100,Marvel Comics,100,Female,-,200,100,6,Unknown,100,Human,100,1000000000,100,1000000000,"nigh-omnipotence,nigh-omnipresence,nigh-omniscience",8,Earth-616,-,combat96to100,durability100,heighthuge,intelligence96to100,level6,power96to100,speed96to100,sv100000001-1000000000,strength96to100,sf100000001-1000000000,tier8,weightunknown,Black Cat (Infinity gauntlet),https://static.wikia.nocookie.net/superheroes/images/7/77/Black_Cat.jpg/revision/latest/scale-to-width-down/250?cb=20231026172513
Good,blackcanary,70,DC Comics,10,Female,"157.5 cm • 5'2""",120,60,1,Unknown,30,Metahuman,6,10,1,100,"peakhumancondition,stamina,acrobatics,agility,sonicscream,stealth,marksmanship,mastermartialartist,reflexes",1,Arrowverse,79.8 kg • 175.93 lbs,combat66to70,durability10,height0-5,intelligence56to60,level1,power26to30,speed6to10,sv1-1000,strength1to5,sf1-1000,tier1,weight1-1000,Black Canary II,https://static.wikia.nocookie.net/superheroes/images/6/66/Dinah_Drake_Black_Canary.jpg/revision/latest/scale-to-width-down/250?cb=20190821171930
Good,bishop,40,Marvel Comics,25,Male,"190.5 cm • 6'3""",130,65,2,Unknown,40,Mutant,17,30,10,400,"energybeams,energyblasts,energymanipulation,heatgeneration,self-destruction,stamina,coldresistance,dexterity,electricityabsorption,endurance,energyabsorption,energyresistance,heatresistance,mastermartialartist,mastertactician,weaponsmaster",1,EMCU,-,combat36to40,durability25,height0-5,intelligence61to65,level2,power36to40,speed16to20,sv1-1000,strength6to10,sf1-1000,tier1,weightunknown,Bishop,https://static.wikia.nocookie.net/superheroes/images/b/b4/Bishop.jpg/revision/latest/scale-to-width-down/250?cb=20231020144520
Bad,equinox,40,Marvel Comics,35,Male,"183 cm • 6'0""",110,55,2,Unknown,50,Human,25,250,30,100000,"acceleratedhealing,agility,coldresistance,cryokinesis,dexterity,firecontrol,fireresistance,heatgeneration,heatresistance,invulnerability,longevity,reflexes,stamina,toxinanddiseaseresistance,acidresistants,creation,endurance,self-destruction,immortality,regeneration",2,Earth-616,90 kg • 198.42 lbs,combat36to40,durability35,height0-5,intelligence51to55,level2,power46to50,speed21to25,sv1-1000,strength26to30,sf10001-100000,tier2,weight1-1000,Equinox,https://static.wikia.nocookie.net/villains/images/a/a7/Equinox_Brave.jpg/revision/latest?cb=20161207121732
Bad,envy,65,Square Enix,25,None,-,90,45,2,Unknown,50,Inhuman,25,250,30,50000,"regeneration,shapeshifting,sizechanging,immortality",1,FMA,-,combat61to65,durability25,heighthuge,intelligence41to45,level2,power46to50,speed21to25,sv1-1000,strength26to30,sf10001-100000,tier1,weightunknown,Envy,https://static.wikia.nocookie.net/villains/images/0/08/Envy5.jpg/revision/latest/scale-to-width-down/350?cb=20200211080432
Good,echo,25,Activision Blizzard,20,Other,-,160,80,2,Singapore,55,Robot,19,35,25,1500,"accelerateddevelopment,adaptation,agility,durability,energybeams,energyblasts,flight,intelligence,powermimicry,superspeed,superstrength,compassioninducement,explosionmanipulation,informationanalysis,energyarmor,regeneration,self-sustenance,sizechanging,vehicularmastery",1,Overwatch,-,combat21to25,durability20,heighthuge,intelligence76to80,level2,power51to55,speed16to20,sv1-1000,strength21to25,sf1001-5000,tier1,weightunknown,Echo,https://static.wikia.nocookie.net/villains/images/1/1e/MayaLopez-EchoProfile.jpg/revision/latest/scale-to-width-down/350?cb=20231116054442
Bad,dracula,75,Konami,30,Male,"220 cm • 7'2.6""",170,85,3,Unknown,85,Vampire,50,200000,30,100000,"acceleratedhealing,acidresistants,agility,berserkmode,bloodlust,coldresistance,dexterity,durability,endurance,enhancedhearing,enhancedmemory,enhancedsight,enhancedsmell,enhancedtouch,fearmanipulation,firecontrol,heatgeneration,immortality,longevity,mastermartialartist,mastertactician,reflexes,regeneration,soulresistance,stamina,toxinanddiseaseresistance,unholymanipulation,unholyresistance,weaponsmaster,weathercontrol,windcontrol,animalattributes,animalcontrol,animalorientedpowers,bloodmanipulation,corruptionresistance,curseresistance,darkarts,darkmagic,darkforcemanipulation,deathmanipulation,durabilitynegation,electricityresistance,electrokinesis,elementcontrol,emotionalpowerup,energymanipulation,energyresistance,fearinducement,fireresistance,flight,heatresistance,hellfiremanipulation,hellfireresistance,holyresistance,illusionresistance,immortalitynegation,invisibility,invulnerability,jump,levitation,magic,magicresistance,marksmanship,mindcontrolresistance,radiationimmunity,regenerationnegation,shapeshifting,soulmanipulation,statisticsamplification,summoning,telekinesis,telepathyresistance,teleportation,terrakinesis,vision-microscopic,vision-night,vision-telescopic",3,C17S,122 kg • 268.96 lbs,combat71to75,durability30,height0-5,intelligence81to85,level3,power81to85,speed46to50,sv100001-1000000,strength26to30,sf10001-100000,tier3,weight1-1000,Dracula,https://static.wikia.nocookie.net/superheroes/images/e/ee/Dracula_Dell.jpg/revision/latest/scale-to-width-down/250?cb=20161030021048
Bad,dracula,70,None,30,Male,"194 cm • 6'4.4""",160,80,2,Unknown,30,None,25,100,25,1000,"acceleratedhealing,animalattributes,animalcontrol,animalorientedpowers,banish,berserkmode,bloodlust,bullettime,coldresistance,dexterity,durability,endurance,enhancedhearing,enhancedmemory,enhancedsight,enhancedsmell,heatresistance,immortality,intelligence,jump,mastertactician,radiationimmunity,reflexes,regeneration,shapeshifting,stamina,superspeed,superstrength,toxinanddiseaseresistance,vision-night,vision-telescopic,wallcrawling,acrobatics,agility,darkarts,fireresistance,grimreaping,indomitablewill,invulnerability,mastermartialartist,possessionresistance,resurrection,stealth,superbreath,timemanipulationresistance,weaponsmaster",1,Earth-616,86 kg • 189.6 lbs,combat66to70,durability30,height0-5,intelligence76to80,level2,power26to30,speed21to25,sv1-1000,strength21to25,sf1-1000,tier1,weight1-1000,Dracula (BBC),https://static.wikia.nocookie.net/superheroes/images/e/ee/Dracula_Dell.jpg/revision/latest/scale-to-width-down/250?cb=20161030021048
