title,species,home_world,body,abilities,first_appearance,img_links,character_type
Handyman,Tetramand,"Khoros,(,Dimension 23,)",Four-Armed Humanoid,"Enhanced Strength,Shock Wave Generation,(via Enhanced Strength),Sonic Clap,(via Enhanced Strength),Pillar Eruption,(via Enhanced Strength),Enhanced Durability,Enhanced Jumping,Enhanced Acrobatics,Enhanced Agility,Enhanced Reflexes,Cold Immunity,Fire/Heat Resistance,Radiation Resistance,Wall Scaling,Strong Bite Force,Strong Teeth,Slime Spit,(via Cold Virus)","It's a Mad, Mad, Mad Ben World: Part 2",https://static.wikia.nocookie.net/ben10/images/7/72/Handy_man_art.png/revision/latest?cb=20141129003010,Hero
Heat Jaws,"½,Pyronite,½,Piscciss Volann",No info,"Fiery, Fish-like Humanoid","Pyrokinesis,Fire/Heat Amplification,Strong Bite Force,Sharp Teeth,Mouth Expansion,Enhanced Strength,Enhanced Durability,Underwater Breathing,Underwater Heat Generation,Fire Resistance,Glowing Lure",Dr. Animo and the Mutant Ray,https://static.wikia.nocookie.net/ben10/images/7/72/Heat_Jaws_full.png/revision/latest?cb=20210205051124,Hero
Heatblast (Classic),Pyronite,Pyros,Fiery Humanoid,"Pyrokinesis,Fire Absorption,Fire Constructs,Fire Transportation,Fire/Heat Amplification,Pyrokinetic Touch,Flame-Enhanced Punches,Fire Cutting,Pyrokinetic Flight,Pyrokinetic Surfing,Terrakinesis,Enhanced Strength,Enhanced Durability,Enhanced Jumping,Enhanced Acrobatics,Enhanced Speed,(via Pyrokinetic Flight),Enhanced Reflexes,Underwater Survivability,Underwater Fire/Heat Generation,Fire/Heat Immunity,Ectonurite,Possession Immunity,Limited,Corruptura,Immunity,Ice/Cold Resistance,Light Generation,Smoke Generation,Fire Breath,Fire Spit,Cryokinesis,(via Cold Virus)",And Then There Were 10,https://static.wikia.nocookie.net/ben10/images/2/20/Heatblast_omniverse_official.png/revision/latest?cb=20230814111634,Hero
Hose Hands,Orishan,"Kiusana,(,Dimension 23,)",Humanoid Mollusk,"Hydrokinesis,Water Blasts,Water Absorption,Moisture Absorption,Hydrokinetic Propulsion,Nigh-Invulnerable Exoskeleton,Enhanced Strength,Enhanced Jumping,Underwater Breathing,Radiation Immunity,Enhanced Intelligence,Technological Expertise",No info,https://static.wikia.nocookie.net/ben10/images/3/3c/NoImageAvailable.png/revision/latest?cb=20220716172111,Hero
Humungoopsaur,"½,Polymorph,½,Vaxasaurian",No info,Various,"Gookinetic Shapeshifting,Enhanced Strength,Size Alteration",The End of an Era,https://static.wikia.nocookie.net/ben10/images/9/9e/Humungoopsaur_official.png/revision/latest?cb=20141129044947,Hero
Humungousaur (Classic),Vaxasaurian,Terradino,Humanoid Dinosaur,"Enhanced Strength,Shock Wave Generation,Sonic Clap,Strong Tail,Size Alteration,Stegosauride Features,Enhanced Durability,Enhanced Jumping,Enhanced Speed,Enhanced Reflexes,Limited Space Survivability,Fire/Heat Resistance,Strong Wind Resistance,Suction Resistance,Quadrupedalism,Strong Teeth,Loud Roar,Slime Spit,(via Cold Virus)",Ben 10 Returns: Part 2,https://static.wikia.nocookie.net/ben10/images/4/41/Humungousaur_omniverse_official.png/revision/latest?cb=20220727052611,Hero
JellyFritz,Amperi,"Tesslos,(,Dimension 23,)",Humanoid Jellyfish,"Bio-Electrokinesis,Electricity Waves,Electrical Telekinesis,Energy Absorption,Energy Redirection,(via Energy Absorption),Force Field Generation,Electroporation,Intangibility,Flight,Levitation,Elasticity,Small Space Maneuvering,Enhanced Strength,Enhanced Durability,Enhanced Speed,(via Flight),Enhanced Reflexes,Enhanced Dexterity,Underwater Breathing,Speed Swimming,Electrical Telepathy,Electrical Possession,Technological Manipulation,Technological Destruction",No info,https://static.wikia.nocookie.net/ben10/images/3/3c/NoImageAvailable.png/revision/latest?cb=20220716172111,Hero
Jetray (Classic),Aerophibian,Aeropela,Humanoid Manta Ray,"Neuroshock Blasts,Fire Generation,(via Neuroshock Blasts),Flight,Levitation,Enhanced Speed,Sonic Boom Generation,Enhanced Strength,Enhanced Durability,Enhanced Reflexes,Space Survivability,Underwater Breathing,Speed Swimming,Fire/Heat Immunity,Radiation Immunity,Electricity Resistance,Prehensile Feet,Prehensile Tail,Hyperspace Entrance",Everybody Talks About the Weather,https://static.wikia.nocookie.net/ben10/images/6/61/JetrayProfilePicture.png/revision/latest?cb=20200921154751,Hero
Juryrigg,Planchaküle,Aul-Turrhen,Gremlin,"Enhanced Intelligence,Technological Expertise,Technological Disassembly,Technological Repairment,Technological Modification,Technology Creation,Enhanced Strength,Enhanced Durability,Enhanced Agility,Prehensile Tail",The Eggman Cometh,https://static.wikia.nocookie.net/ben10/images/1/1d/Jury_rigg_ov_official.png/revision/latest?cb=20141129041726,Hero
Kickin Hawk,Unknown,Unknown,Humanoid Chickenhawk,"Skilled Hand-to-Hand Combatant,Enhanced Strength,Enhanced Durability,Enhanced Dexterity,Enhanced Speed,Enhanced Agility,Enhanced Acrobatics,Enhanced Reflexes,Enhanced Jumping,Enhanced Flexibility,Retractable Talons,Prehensile Feet,Shock Waves,Limited Space Survivability",Outbreak,https://static.wikia.nocookie.net/ben10/images/4/4b/Kicken_Hawk_Omniverse_official.png/revision/latest?cb=20230814035847,Hero
Lightning Volt,Transylian,"Anur Transyl,(,Dimension 23,)",Cyborg Humanoid,"Bio-Electrokinesis,Electricity Waves,Electricity-Enhanced Punches,Energy Beams,Enhanced Strength,Enhanced Durability,Enhanced Jumping,Enhanced Speed,Enhanced Agility,Enhanced Reflexes,Space Survivability,Corrodium,Immunity,Heat Resistance,Strong Wind Resistance,Night Vision,Electromagnetism,Technokinesis,Technology Merging,Technological Manipulation,(via Technology Merging)","It's a Mad, Mad, Mad Ben World: Part 2",https://static.wikia.nocookie.net/ben10/images/f/f3/Frankenstrike_23.png/revision/latest?cb=20141129003039,Hero
Lodestar,Biot-savartian,"Unknown,",Magnetic Humanoid,"Magnetokinesis,Electro-Magnetokinesis,Ferrokinesis,(via Magnetokinesis),Magnetoreception,Magno-Telekinesis,Magnetic Dismantlement,Magnetization,Force Field Generation,Reconstitution,Levitation,Enhanced Strength,Enhanced Durability,Space Survivability",Simple,https://static.wikia.nocookie.net/ben10/images/0/09/Lodestar_OV_Stand.png/revision/latest?cb=20230813232252,Hero
Mole-Stache,Unknown,Unknown,Rodentoid,"Comakinesis,Mustache Reshaping,Mustache Regeneration,Mustache Flotation,Comakinetic Flight,Skilled Hand-to-Hand Combatant,Enhanced Strength,Enhanced Digging",Outbreak,https://static.wikia.nocookie.net/ben10/images/7/70/Mole-Stache_official.png/revision/latest?cb=20200603082802,Hero
Mr. Monkey,Arachnichimp,"Aranhascimmia,(,Dimension 23,)",Four-Armed Monkey,"Webbing Generation,Web Swinging,Web Ensnarement,Web Constructs,Enhanced Strength,Enhanced Durability,Enhanced Jumping,Enhanced Acrobatics,Enhanced Agility,Enhanced Reflexes,Enhanced Hearing,Wall Scaling,Web Scaling,Prehensile Feet,Prehensile Tail,Bipedalism","It's a Mad, Mad, Mad Ben World: Part 1",https://static.wikia.nocookie.net/ben10/images/a/a1/Mr._Monkey_official.png/revision/latest?cb=20141129003122,Hero
Mr. Mucky,Methanosian,"Methanos,(,Dimension 23,)",Humanoid Plant,"Chlorokinesis,Methane Generation,Fire Generation,(via Methane Generation),Fireball Generation,(via Methane Generation),Heat Generation,(via Methane Generation),Pyrokinetic Flight,Seed Generation,Vine Generation,(via Seed Generation),Fertilizer Gas,Body Alteration,Malleable Physiology,Regeneration,Limb Reattachment,Elasticity,Root Generation,Vine Whips,(After Blossoming),Sentient Plant Control,(After Blossoming),Enhanced Strength,Enhanced Durability,Enhanced Jumping,Enhanced Acrobatics,Enhanced Speed,Enhanced Reflexes,Enhanced Digging,Laser Immunity,Fire/Heat Resistance,Cold Resistance,Chlorokinetic Healing,Vine Tentacles,Adhesive Mud,Sleeping Spores,Fire Breath,Strong Teeth,Strong Smell",No info,https://static.wikia.nocookie.net/ben10/images/4/44/OmniverseMrMucky.png/revision/latest?cb=20220730212645,Hero
Muck Amuck,Polymorph,"Viscosia,(,Dimension 23,)",Various,"Gookinetic Shapeshifting,Density Shifting,Slime Ensnarement,Body Alteration,Size Alteration,Small Space Maneuvering,Body Separation,Regeneration,Elasticity,Acidic Body,Acidic Touch,Acidic Slime Projection,Flight,(via Anti-Gravity Projector),Levitation,(via Anti-Gravity Projector),Enhanced Strength,Enhanced Speed,(via Flight),Enhanced Reflexes,Underwater Survivability,Atomization Survivability,Heat Resistance,Wall Scaling,Slippery Body,Slime Cushion,Slime Tentacles,Slime Projectiles,Slime Spit,Movable Eyes,Object Mimicry",No info,https://static.wikia.nocookie.net/ben10/images/9/99/MuckaMuckflavor.PNG/revision/latest?cb=20221113163220,Hero
Nanomech,"½,Human,½,Nanochip","Earth,(Human DNA)",Robotic Humanoid Insect,"Bio-Electricity Generation,Energy Ball Generation,Optic Laser,Small Space Maneuvering,Size Alteration,Flight,Enhanced Reflexes,Nanochip Queen,Control Immunity,Electricity Resistance,Adaptability,Energy Tentacles,(via Adaptability)",Ben 10: Alien Swarm,https://static.wikia.nocookie.net/ben10/images/5/5e/OmniverseNanomech.png/revision/latest?cb=20131216030601,Hero
Nighty Knight,Nemuina,"Nemunimos IV,(,Dimension 23,)",Fairy,"Oneirokinesis,Sleep Dust Manipulation,Flight,Enhanced Speed,(via Flight),Enhanced Agility","It's a Mad, Mad, Mad Ben World: Part 1",https://static.wikia.nocookie.net/ben10/images/d/d7/NightyKnight.png/revision/latest?cb=20200906075549,Hero
NRG,Prypiatosian-B,Prypiatos,Humanoid,"Radioactive Energy Blasts,Heat Amplification,Heat Generation,Lava Eruption,(via Heat Generation),Enhanced Strength,Underwater Survivability,Fire/Heat Immunity,Radiation Immunity,Lead Immunity,Lucubra,Possession Immunity,Limited,Corruptura,Immunity,Wall Scaling,Radiation Spit,Outside of Containment Suit:,Radioactive Energy Balls,Radioactive Optic Lasers,Energy Absorption,Energy Consumption,Energy Empowerment,Size Alteration,(via Energy Absorption),Intangibility,Flight,Levitation,Enhanced Speed,(via Flight),Enhanced Reflexes,Neuroshock Blast Immunity,Ice/Cold Resistance,Light Generation",The Forge of Creation,https://static.wikia.nocookie.net/ben10/images/a/a3/NRG_OV_Stand.png/revision/latest?cb=20200515103605,Hero
Category:Omniverse Aliens,No info,No info,No info,No info,No info,No Image,Hero
Orbit Man,Galilean,"Keplorr,'s Orbit,(,Dimension 23,)",Planetary Humanoid,"Gravikinesis,Black Hole Generation,Quasar Generation,Force Field Generation,Levitation,Speed Reduction,Orbitakinesis,Self-Gravity Manipulation,Planetoid Form,Flight,Enhanced Strength,Enhanced Durability,Space Survivability",No info,https://static.wikia.nocookie.net/ben10/images/e/eb/Orbit_man.png/revision/latest?cb=20141109100055,Hero
Category:Original Series Aliens,No info,No info,No info,No info,No info,No Image,Hero
Pesky Dust,Nemuina,Nemunimos IV,Fairy,"Oneirokinesis,Sleep Dust Manipulation,Flight,Enhanced Speed,(via Flight),Enhanced Agility",Outbreak,https://static.wikia.nocookie.net/ben10/images/4/4b/Pesky_Dust_2.png/revision/latest?cb=20210730163745,Hero
Rath (Classic),Appoplexian,Appoplexia,Humanoid Tiger,"Anger Empowerment,Wrestling Proficiency,Shock Wave Generation,Sharp Retractable Claws,Enhanced Strength,Enhanced Durability,Enhanced Jumping,Enhanced Acrobatics,Enhanced Speed,Enhanced Reflexes,Limited Space Survivability,Fire/Heat Resistance,Wall Scaling,Quadrupedalism,Strong/Sharp Teeth,Powerful Roar",Con of Rath,https://static.wikia.nocookie.net/ben10/images/1/1d/Rath_luchador_official.png/revision/latest?cb=20141129035447,Hero
Rath (Dimension 23),Appoplexian,"Appoplexia,(,Dimension 23,)",Humanoid Tiger,"Enhanced Strength,Anger Empowerment,Shock Wave Generation,Sharp Retractable Claws,Enhanced Durability,Enhanced Jumping,Enhanced Acrobatics,Enhanced Speed,Enhanced Reflexes,Limited Space Survivability,Fire/Heat Resistance,Wall Scaling,Quadrupedalism,Strong/Sharp Teeth,Powerful Roar",No info,https://static.wikia.nocookie.net/ben10/images/6/60/Tigerizer.png/revision/latest?cb=20210417192144,Hero
Ripjaws (Classic),Piscciss Volann,Piscciss,Humanoid Anglerfish,"Strong Bite Force,Sharp Teeth,Mouth Expansion,Tail Formation,Enhanced Swimming,(via Tail Formation),Underwater Vortex Generation,(via Enhanced Swimming),Sharp Claws,Enhanced Strength,Enhanced Durability,Enhanced Reflexes,Enhanced Stomach Capacity,Underwater Breathing,Glowing Lure,Glowing Eyes",The Krakken,https://static.wikia.nocookie.net/ben10/images/9/9e/Ripjaws_ov_official.png/revision/latest?cb=20150925140842,Hero
Rollaway,Arburian Pelarota,"Arburia,(,Dimension 23,)",Pillbug,"Sphere Transformation,Nigh-Invulnerable Shell,Energy Deflection,(via Nigh-Invulnerable Shell),Electricity Conductivity,(via Nigh-Invulnerable Shell),Sharp Claws,Enhanced Strength,Enhanced Durability,Enhanced Jumping,Enhanced Speed,(via Sphere Transformation),Enhanced Reflexes,Enhanced Digging,Limited Space Survivability,Acid Immunity,Lava Immunity,Radiation Resistance,Heat Resistance,Cold Resistance,Wall Scaling",Store 23,https://static.wikia.nocookie.net/ben10/images/a/ae/Rollaway_Profile.png/revision/latest?cb=20231205035444,Hero
Shocksquatch,Gimlinopithecus,Pattersonea,"Yeti,(,Heroes United,),Sasquatch,(,Omniverse,)","Bio-Electrokinesis,Electricity Waves,Electricity Infusion,Electrical Telekinesis,Force Field Generation,Enhanced Strength,Enhanced Durability,Enhanced Jumping,Enhanced Speed,Enhanced Reflexes,Cold Immunity,Limited Radiation Immunity,Electricity Breath,Quadrupedalism",Ben 10/Generator Rex: Heroes United,https://static.wikia.nocookie.net/ben10/images/a/a6/Shocksquatch_omniverse_official.png/revision/latest?cb=20210515162700,Hero
Snare-oh,Thep Khufan,Anur Khufos,Humanoid Mummy,"Bandage Generation,Bandage Ensnarement,Sharp Bandages,Body Alteration,Unraveling,Small Space Maneuvering,(via Unraveling),Regeneration,Elasticity,Flight,(via Unraveling),Enhanced Strength,Enhanced Durability,Enhanced Jumping,Enhanced Reflexes,Space Survivability,Underwater Survivability,Waterproof Bandages,Corrodium,Immunity,Bioluminescence,Glowing Eyes,Night Vision,Removable Face,Body Storage,Bandage Cushion",The Return,https://static.wikia.nocookie.net/ben10/images/e/ea/Ben-10-omniverse-ben-snare-oh.png/revision/latest?cb=20141129032220,Hero
Speedyquick,Kineceleran,"Kinet,(,Dimension 23,)",Humanoid Velociraptor,"Tribokinesis,Enhanced Speed,Enhanced Agility,Enhanced Reflexes,Vortex Generation,(via Enhanced Speed),Water Vortex Generation,(via Enhanced Speed),Fire Vortex Generation,(via Enhanced Speed),Speed Rotation,Speed Kicking,Speed Cutting,Sharp Claws,Enhanced Strength,Enhanced Durability,Enhanced Jumping,Accelerated Thinking,Heat Resistance,Wall Scaling,Water Running,Prehensile Tail,Retractable Visor","It's a Mad, Mad, Mad Ben World: Part 1",https://static.wikia.nocookie.net/ben10/images/b/b8/Speedyquick.png/revision/latest?cb=20210215132442,Hero
Spidermonkey (Classic),Arachnichimp,Aranhascimmia,Four-Armed Monkey,"Webbing Generation,Web Swinging,Web Ensnarement,Web Constructs,Enhanced Strength,Enhanced Durability,Enhanced Jumping,Enhanced Acrobatics,Enhanced Agility,Enhanced Reflexes,Enhanced Hearing,Wall Scaling,Web Scaling,Prehensile Feet,Prehensile Tail,Bipedalism",Be-Knighted,https://static.wikia.nocookie.net/ben10/images/8/8a/Spidermonkey_omniverse_profile.png/revision/latest?cb=20140722155837,Hero
Spitter,Sphoeroid,Scalpasc,Humanoid Pufferfish,"Slime Spit,Body Inflation,Slippery Slime,Conductive Slime","Ben 10,000",https://static.wikia.nocookie.net/ben10/images/d/d6/Spitter_UA1.PNG/revision/latest?cb=20180910090614,Hero
Stink Arms,"½,Tetramand,½,Lepidopterran",No info,Four-Armed Humanoid with Wings,"Enhanced Strength,Limited Flight,Sharp Tail,Enhanced Durability,Enhanced Jumping,Enhanced Reflexes,Movable Eyes,360° Vision,(via Movable Eyes)",Dr. Animo and the Mutant Ray,https://static.wikia.nocookie.net/ben10/images/f/f4/SA.png/revision/latest?cb=20141227135744,Hero
Stinkfly (Classic),Lepidopterran,Lepidopterra,Winged Insectoid,"Slime Projectiles,Fire Suppression,(via Slime Projectiles),Fire Amplification,(via Slime Projectiles),Slime Spit,Slime Ensnarement,Flight,Sharp Tail,Enhanced Strength,Enhanced Durability,Enhanced Speed,(via Flight),Enhanced Reflexes,Movable Eyes,360° Vision,(via Movable Eyes),Strong Smell,Toxic Gas,Methane Gas",Washington B.C.,https://static.wikia.nocookie.net/ben10/images/d/d1/Stinkfly_OV_Model.png/revision/latest?cb=20200409100222,Hero
Swampfire,Methanosian,Methanos,Humanoid Plant,"Chlorokinesis,Methane Generation,Fire Generation,(via Methane Generation),Fireball Generation,(via Methane Generation),Heat Generation,(via Methane Generation),Pyrokinetic Flight,Seed Generation,Vine Generation,(via Seed Generation),Fertilizer Gas,Body Alteration,Malleable Physiology,Regeneration,Limb Reattachment,Elasticity,Root Generation,Vine Whips,(After Blossoming),Sentient Plant Control,(After Blossoming),Enhanced Strength,Enhanced Durability,Enhanced Jumping,Enhanced Acrobatics,Enhanced Speed,Enhanced Reflexes,Enhanced Digging,Laser Immunity,Fire/Heat Resistance,Cold Resistance,Chlorokinetic Healing,Vine Tentacles,Adhesive Mud,Sleeping Spores,Fire Breath,Strong Teeth,Strong Smell",Ben 10 Returns: Part 1,https://static.wikia.nocookie.net/ben10/images/f/fb/Swampfire_ov2.png/revision/latest?cb=20230627075405,Hero
Techno-Bubble,Galvanic Mechamorph,"Galvan B,(,Dimension 23,)",Technological Humanoid,"Technological Possession,Technological Alteration,Technological Manipulation,Body Alteration,Self-Liquefaction,(via Body Alteration),Small Space Maneuvering,(via Self-Liquefaction),Prehensile Tentacles,(via Body Alteration),Weapon Manifestation,(via Body Alteration),Size Alteration,Shapeshifting,Gliding,(via Shapeshifting),Technology Mimicry,Improvisational Technology Creation,Regeneration,Elasticity,Nanite Constructs,Optic Laser,Bio-Electricity Generation,Enhanced Strength,Enhanced Durability,Enhanced Jumping,Enhanced Reflexes,Space Survivability,Underwater Survivability,Esoterica Transformation Immunity,Fire/Heat Resistance,Bioluminescence,Digitalized Vision,Distress Signal Transmission,Body Storage,Galvan B Manipulation,Pet Mechamorph Extrication,Electroporation,While Possessing Technology:,Telekinesis,Energy Constructs,Plumber Badge,Tracking,Light Generation","It's a Mad, Mad, Mad Ben World: Part 1",https://static.wikia.nocookie.net/ben10/images/f/f2/Techno-bubble.png/revision/latest?cb=20141129003152,Hero
Teeny-Weeny,Nanomite,No info,Robotic Humanoid Insect,"Bio-Electricity Generation,Energy Ball Generation,Optic Laser,Small Space Maneuvering,Size Alteration,Flight,Enhanced Reflexes,Electricity Resistance,Adaptability,Energy Tentacles,(via Adaptability)",No info,https://static.wikia.nocookie.net/ben10/images/3/3c/NoImageAvailable.png/revision/latest?cb=20220716172111,Hero
Terraspin,Geochelone Aerio,Aldabra,Bipedal Tortoise,"Aerokinesis,Fan Blade Formation,Aerokinetic Blasts,Fire Suppression,(via Aerokinetic Blasts),Aerokinetic Redirection,Aerokinetic Suction,Tornado Generation,Sharp Blade Arms,Flight,Levitation,Enhanced Strength,Enhanced Durability,Enhanced Speed,(via Flight),Enhanced Dexterity,Poisonous Gas Immunity,Mana,Resistance,Retractable Claws,Retractable Head,Retractable Limbs",Reflected Glory,https://static.wikia.nocookie.net/ben10/images/8/88/OV_Terraspin_Stand.PNG/revision/latest?cb=20210515162353,Hero
The Electric Corpse,Transylian,Anur Transyl,Cyborg Humanoid,"Bio-Electrokinesis,Energy Beams,Electricity-Enhanced Punches,Electricity Waves,Enhanced Strength,Enhanced Durability,Enhanced Jumping,Enhanced Speed,Enhanced Reflexes,Space Survivability,Corrodium,Immunity,Fire/Heat Resistance,Technokinesis,Technological Manipulation,(when plugged into technology),Electromagnetism,Night Vision",No info,https://static.wikia.nocookie.net/ben10/images/f/f5/The_Electric_Corpse.png/revision/latest?cb=20220727054540,Hero
The Worst,Atrocian,"Atrocius 0,(formerly)",Blob-like,"Indestructibility,Enhanced Durability,Heat Resistance,Lava Immunity",Outbreak,https://static.wikia.nocookie.net/ben10/images/8/8a/OmniverseTheWorst.png/revision/latest?cb=20230611221648,Hero
Toepick,Unknown,Unknown,Ogre,"Nightmarish Face,Nightmarish Sounds,Fear Inducement,Gas Generation,Sharp Claws,Enhanced Strength,Enhanced Durability,(helmet only)",Special Delivery,https://static.wikia.nocookie.net/ben10/images/0/0d/Toepick_art.png/revision/latest?cb=20141226163903,Hero
Toolboxx,Talpaedan,"Poiana Lüncas,(,Dimension 23,)",Robotic Humanoid Armadillo,"Drill Hands,Piston Olecranons,Jackhammer Arms,Jackhammer Propulsion,Rocket Pistons,Earthquake Generation,Fissure Generation,Enhanced Strength,Shock Wave Generation,Enhanced Durability,Enhanced Digging,Neuroshock Blast Immunity,Air Blender,Arm Extension,Finger Retraction","It's a Mad, Mad, Mad Ben World: Part 1",https://static.wikia.nocookie.net/ben10/images/1/11/Toolboxx.png/revision/latest?cb=20141101073228,Hero
Category:Ultimate Alien Aliens,No info,No info,No info,No info,No info,No Image,Hero
Ultimate Arctiguana,Evolved Polar Manzardill,No info,Animalistic,"Ice Cannons,Cryo Immunity",For a Few Brains More,https://static.wikia.nocookie.net/ben10/images/2/29/Negative_Ultimate_Articguana.png/revision/latest?cb=20141129022736,Hero
Ultimate Big Chill,Evolved Necrofriggian,No info,Humanoid Moth,"Cryo-Pyrokinesis,Ice Flame Breath,Freezing Breath,Ice Fire Blasts,Ice Constructs,Intangibility,Invisibility,Cryo-Phasing,Flight,Foldable Wings,Enhanced Strength,Enhanced Durability,Enhanced Speed,(via Flight),Enhanced Reflexes,Underwater Breathing,Ice Flame Trail,Snow Storm Generation",Hit 'Em Where They Live,https://static.wikia.nocookie.net/ben10/images/4/4b/Ultimate_Big_Chill_Uncloaked_Shaded.png/revision/latest?cb=20210319231126,Hero
Ultimate Cannonbolt,Evolved Arburian Pelarota,No info,Pillbug,"Sphere Transformation,Speed Rotation,Nigh-Invulnerable Spiked Shell,Enhanced Strength,Shock Wave Generation,Enhanced Durability,Enhanced Jumping,Enhanced Speed,(via Sphere Transformation),Enhanced Reflexes,Enhanced Dexterity,Radiation Immunity,Spike Projection",Too Hot to Handle,https://static.wikia.nocookie.net/ben10/images/2/20/Ultimate_Cannonbolt_Model.png/revision/latest?cb=20210314024839,Hero
Ultimate Echo Echo,Evolved Sonorosian,No info,Robotic Humanoid,"Audiokinesis,Sonic Disk Duplication,Sonic Waves,Sonic Screams,Self-Duplication,(via Sonic Disks),Sonic Doom,Sonic Combustion,Sonic Force Fields,Audiokinetic Flight,Levitation,Enhanced Strength,Enhanced Durability,Enhanced Speed,(via Audiokinetic Flight),Space Survivability,Cold Immunity",Map of Infinity,https://static.wikia.nocookie.net/ben10/images/f/f3/Ultimate_Echo_Echo_omniverse_official.png/revision/latest?cb=20141129023003,Hero
Ultimate Forms,No info,No info,No info,No info,The Final Battle: Part 1,https://static.wikia.nocookie.net/ben10/images/6/69/Ultimates.png/revision/latest?cb=20230814034429,Hero
Ultimate Humungousaur,Evolved Vaxasaurian,No info,Armored Humanoid Dinosaur,"Gun Hand Formation,Missile Generation,Bullet Generation,Enhanced Strength,Shock Wave Generation,Strong Mace Tail,Enhanced Durability,Enhanced Jumping,Enhanced Speed,Enhanced Reflexes,Earthquake Generation",The Final Battle: Part 1,https://static.wikia.nocookie.net/ben10/images/e/e8/Negative_Ultimate_Humungousaur.png/revision/latest?cb=20230814035042,Hero
Ultimate Rath,Evolved Appoplexian,No info,Humanoid Tiger,"Enhanced Strength,Enhanced Durability,Enhanced Speed,Enhanced Jumping,Quadrupedalism",Malgax Attacks,https://static.wikia.nocookie.net/ben10/images/4/40/Ultimate_Rath_OV.png/revision/latest?cb=20210802005349,Hero
Ultimate Spidermonkey,Evolved Arachnichimp,No info,"Spider-Legged Gorilla,(,Ultimate Alien,),Six-Armed Gorilla,(,Omniverse,)","Web Spitting,Web Ensnarement,Web Net,Enhanced Strength,Enhanced Durability,Enhanced Jumping,Enhanced Speed,Enhanced Agility,Enhanced Reflexes,Radiation Resistance,Heat Resistance,Wall Scaling,Prehensile Feet,Multi-hinged Jaws,Web Cushion,Ultimate Alien Only:,Sharp Retractable Spider Legs",Fame,https://static.wikia.nocookie.net/ben10/images/e/e1/Negative_ultimate_spidermonkey_official.png/revision/latest?cb=20210515161553,Hero
Ultimate Swampfire,Evolved Methanosian,No info,Humanoid Tree,"Chlorokinesis,Kerosene Generation,Blue Fire Generation,(via Kerosene Generation),Pyrokinetic Flight,Fire Bomb Generation,Fire Cluster Bomb Generation,Seed Generation,Vine Generation,(via Seed Generation),Regeneration,Elasticity,Enhanced Strength,Enhanced Durability,Enhanced Jumping,Enhanced Speed,(via Pyrokinetic Flight),Enhanced Reflexes,Underwater Breathing,Underwater Fire/Heat Generation,Radiation Resistance",The Final Battle: Part 2,https://static.wikia.nocookie.net/ben10/images/4/4e/Alien-gallery_ultimate_swampfire.png/revision/latest?cb=20210314025221,Hero
Category:Ultimate Versions,No info,No info,No info,No info,No info,No Image,Hero
Ultimate Way Big,Evolved To'kustar,No info,Giant Humanoid,"Cosmic Rays,Cosmic Disks,Speed Rotation,Energy Deflection,(via Speed Rotation),Flight,Enhanced Strength,Enhanced Durability,Enhanced Jumping,Enhanced Speed,(via Flight),Wall Scaling",The Ultimate Enemy: Part 2,https://static.wikia.nocookie.net/ben10/images/7/74/Ultimate_way_big.png/revision/latest?cb=20190606163405,Hero
Ultimate Wildmutt,Evolved Vulpimancer,No info,Animalistic,"Sightless Sensing,Sharp Teeth,Sharp Claws,Spiked Tail,Enhanced Strength,Bipedalism",Prisoner Number 775 is Missing,https://static.wikia.nocookie.net/ben10/images/2/2a/UltimateWildmuttOfficial.png/revision/latest?cb=20180824092906,Hero
Upchuck,"Perk/Murk,Gourmand","Peptos I - X,(destroyed),","Amoeba-like Humanoid,","Prehensile Tongues,Mouth Expansion,Solid Matter Ingestion,Energy Ingestion,Explosive Vomit,Explosive Vomit Propulsion,Strong Teeth,Swarm Gastronomy,Enhanced Durability,Enhanced Speed,Enhanced Reflexes,Space Survivability,Enhanced Stomach Capacity,Slime Spit,Acid Spit",The Visitor,https://static.wikia.nocookie.net/ben10/images/7/71/Upchuck_tabber.png/revision/latest?cb=20141129033205,Hero
Upgrade (Classic),Galvanic Mechamorph,Galvan B,Technological Humanoid,"Technological Possession,Technological Alteration,Technological Manipulation,Body Alteration,Self-Liquefaction,(via Body Alteration),Small Space Maneuvering,(via Self-Liquefaction),Prehensile Tentacles,(via Body Alteration),Weapon Manifestation,(via Body Alteration),Size Alteration,Shapeshifting,Gliding,(via Shapeshifting),Technology Mimicry,Improvisational Technology Creation,Regeneration,Elasticity,Nanite Constructs,Optic Laser,Bio-Electricity Generation,Enhanced Strength,Enhanced Durability,Enhanced Jumping,Enhanced Reflexes,Space Survivability,Underwater Survivability,Esoterica Transformation Immunity,Fire/Heat Resistance,Bioluminescence,Digitalized Vision,Distress Signal Transmission,Body Storage,Galvan B Manipulation,Pet Mechamorph Extrication,Electroporation,While Possessing Technology:,Telekinesis,Energy Constructs,Plumber Badge,Tracking,Light Generation",Permanent Retirement,https://static.wikia.nocookie.net/ben10/images/7/75/OV_Upgrade.png/revision/latest?cb=20210105173649,Hero
